State,County,Area Symbol,Download_Link
Virginia,Halifax County and the City of South Boston,VA083,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA083_soildb_US_2003_[2020-06-04].zip
Virginia,Hanover County,VA085,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA085_soildb_US_2003_[2020-06-04].zip
Virginia,Henrico County,VA087,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA087_soildb_US_2003_[2020-06-04].zip
Virginia,Henry County,VA089,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA089_soildb_US_2003_[2020-06-04].zip
Virginia,Highland County,VA091,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA091_soildb_US_2003_[2020-06-04].zip
Virginia,Isle of Wight County,VA093,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA093_soildb_US_2003_[2020-06-04].zip
Virginia,King and Queen County,VA097,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA097_soildb_US_2003_[2020-06-04].zip
Virginia,King William County,VA101,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA101_soildb_US_2003_[2020-06-04].zip
Virginia,Lee County,VA105,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA105_soildb_US_2003_[2020-06-04].zip
Virginia,Loudoun County,VA107,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA107_soildb_US_2003_[2020-06-04].zip
Virginia,Louisa County,VA109,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA109_soildb_US_2003_[2020-06-04].zip
Virginia,Lunenburg County,VA111,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA111_soildb_US_2003_[2020-06-04].zip
Virginia,Madison County,VA113,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA113_soildb_US_2003_[2020-06-04].zip
Virginia,Mathews County,VA115,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA115_soildb_US_2003_[2020-06-05].zip
Virginia,Mecklenburg County,VA117,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA117_soildb_US_2003_[2020-06-05].zip
Virginia,Middlesex County,VA119,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA119_soildb_US_2003_[2020-06-05].zip
Virginia,Montgomery County,VA121,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA121_soildb_US_2003_[2020-06-05].zip
Virginia,Nelson County,VA125,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA125_soildb_US_2003_[2020-06-05].zip
Virginia,New Kent County,VA127,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA127_soildb_US_2003_[2020-06-05].zip
Virginia,Northampton County,VA131,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA131_soildb_US_2003_[2020-06-05].zip
Virginia,Northumberland and Lancaster Counties,VA133,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA133_soildb_US_2003_[2020-06-05].zip
Virginia,Nottoway County,VA135,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA135_soildb_US_2003_[2020-06-05].zip
Virginia,Orange County,VA137,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA137_soildb_US_2003_[2020-06-05].zip
Virginia,Page County,VA139,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA139_soildb_US_2003_[2020-06-05].zip
Virginia,Patrick County,VA141,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA141_soildb_US_2003_[2020-06-05].zip
Virginia,Pittsylvania County and the City of Danville,VA143,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA143_soildb_US_2003_[2020-06-05].zip
Virginia,Powhatan County,VA145,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA145_soildb_US_2003_[2020-06-05].zip
Virginia,Prince Edward County,VA147,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA147_soildb_US_2003_[2020-06-05].zip
Virginia,Prince George County,VA149,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA149_soildb_US_2003_[2020-06-05].zip
Virginia,Prince William County,VA153,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA153_soildb_US_2003_[2020-06-05].zip
Virginia,Pulaski County,VA155,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA155_soildb_US_2003_[2020-06-05].zip
Virginia,Rappahannock County,VA157,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA157_soildb_US_2003_[2020-06-05].zip
Virginia,Richmond County,VA159,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA159_soildb_US_2003_[2020-06-05].zip
Virginia,Roanoke County and the Cities of Roanoke and Salem,VA161,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA161_soildb_US_2003_[2020-06-05].zip
Virginia,Rockbridge County,VA163,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA163_soildb_US_2003_[2020-06-05].zip
Virginia,Rockingham County,VA165,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA165_soildb_US_2003_[2020-06-05].zip
Virginia,Russell County,VA167,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA167_soildb_US_2003_[2020-06-05].zip
Virginia,Scott County,VA169,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA169_soildb_US_2003_[2020-06-05].zip
Virginia,Shenandoah County,VA171,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA171_soildb_US_2003_[2020-06-05].zip
Virginia,Smyth County,VA173,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA173_soildb_US_2003_[2020-06-05].zip
Virginia,Southampton County,VA175,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA175_soildb_US_2003_[2020-06-05].zip
Virginia,Spotsylvania County,VA177,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA177_soildb_US_2003_[2020-06-05].zip
Virginia,Stafford and King George Counties,VA179,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA179_soildb_US_2003_[2020-06-05].zip
Virginia,Surry County,VA181,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA181_soildb_US_2003_[2020-06-05].zip
Virginia,Sussex County,VA183,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA183_soildb_US_2003_[2020-06-05].zip
Virginia,Tazewell County,VA185,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA185_soildb_US_2003_[2020-06-05].zip
Virginia,Warren County,VA187,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA187_soildb_US_2003_[2020-06-05].zip
Virginia,Washington County Area and the City of Bristol,VA191,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA191_soildb_US_2003_[2020-06-05].zip
Virginia,Westmoreland County,VA193,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA193_soildb_US_2003_[2020-06-05].zip
Virginia,Wise County,VA195,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA195_soildb_US_2003_[2020-06-05].zip
Virginia,Wythe County,VA197,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA197_soildb_US_2003_[2020-06-05].zip
Virginia,Alexandria City,VA510,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA510_soildb_US_2003_[2020-06-15].zip
Virginia,Bedford City,VA515,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA515_soildb_US_2003_[2020-06-15].zip
Virginia,Charlottesville City,VA540,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA540_soildb_US_2003_[2020-06-15].zip
Virginia,Chesapeake City,VA550,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA550_soildb_US_2003_[2020-06-15].zip
Virginia,Fairfax City,VA600,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA600_soildb_US_2003_[2020-06-15].zip
Virginia,Jefferson National Forest,VA606,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA606_soildb_US_2003_[2020-06-15].zip
Virginia,Falls Church City,VA610,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA610_soildb_US_2003_[2020-06-15].zip
Virginia,Fredericksburg City,VA630,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA630_soildb_US_2003_[2020-06-15].zip
Virginia,Campbell County and the City of Lynchburg,VA631,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA631_soildb_US_2003_[2020-06-15].zip
Virginia,Dinwiddie County Area,VA653,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA653_soildb_US_2003_[2020-06-15].zip
Virginia,James City and York Counties and the City of Williamsburg,VA695,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA695_soildb_US_2003_[2020-06-15].zip
Virginia,Tidewater Cities Area,VA715,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA715_soildb_US_2003_[2020-06-15].zip
Virginia,City of Richmond,VA760,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA760_soildb_US_2003_[2020-06-15].zip
Virginia,Staunton City,VA790,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA790_soildb_US_2003_[2020-06-15].zip
Virginia,City of Suffolk,VA800,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA800_soildb_US_2003_[2020-06-15].zip
Virginia,City of Virginia Beach,VA810,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA810_soildb_US_2003_[2020-06-15].zip
Virginia,Waynesboro City,VA820,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA820_soildb_US_2003_[2020-06-15].zip
Virginia,Winchester City,VA840,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA840_soildb_US_2003_[2020-06-15].zip
Virginia,Blue Ridge Parkway - Bedford County Peaks of Otter Area,VA850,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_VA850_soildb_US_2003_[2020-06-15].zip
North Carolina,Alamance County,NC001,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC001_soildb_NC_2003_[2020-06-02].zip
North Carolina,Alexander County,NC003,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC003_soildb_NC_2003_[2020-06-02].zip
North Carolina,Alleghany County,NC005,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC005_soildb_NC_2003_[2020-06-02].zip
North Carolina,Anson County,NC007,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC007_soildb_NC_2003_[2020-06-02].zip
North Carolina,Ashe County,NC009,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC009_soildb_NC_2003_[2020-06-02].zip
North Carolina,Avery County,NC011,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC011_soildb_NC_2003_[2020-06-02].zip
North Carolina,Beaufort County,NC013,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC013_soildb_NC_2003_[2020-06-02].zip
North Carolina,Bertie County,NC015,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC015_soildb_NC_2003_[2020-06-02].zip
North Carolina,Bladen County,NC017,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC017_soildb_NC_2003_[2020-06-02].zip
North Carolina,Brunswick County,NC019,https://websoilsurvey.sc.egov.usda.gov/DSD/Download/Cache/SSA/wss_SSA_NC019_soildb_NC_2003_[2020-06-02].zip
